city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,28.27,27.05,28.01,28.27,1009,24,0.0,20,few clouds,1767672816,1767721249,1767721756
Swakopmund,-22.6833,14.5333,20.55,20.8,20.55,20.55,1013,82,1.79,95,overcast clouds,1767673413,1767721876,1767721757
Walvis Bay,-22.9575,14.5053,19.95,19.91,19.95,19.95,1012,73,5.35,54,broken clouds,1767673387,1767721916,1767721758
Arandis,-22.4167,14.9667,20.23,19.8,20.23,20.23,1013,57,4.11,95,overcast clouds,1767673341,1767721740,1767721760
Usakos,-22.0,15.6,23.46,23.09,23.46,23.46,1012,47,8.18,79,broken clouds,1767673239,1767721538,1767721762
Omaruru,-21.4333,15.9333,26.76,25.97,26.76,26.76,1010,21,6.57,5,clear sky,1767673226,1767721391,1767721765
Henties Bay,-22.116,14.2845,19.4,19.48,19.4,19.4,1013,80,3.81,92,overcast clouds,1767673541,1767721868,1767721768
Oshakati,-17.7833,15.6833,30.33,29.23,30.33,30.33,1008,32,2.32,58,broken clouds,1767673707,1767721030,1767721772
Ongwediva,-17.7833,15.7667,29.92,28.91,29.92,29.92,1008,33,2.24,59,broken clouds,1767673687,1767721010,1767721776
Ompundja,-17.9115,15.7014,30.78,29.51,30.78,30.78,1008,30,1.25,34,scattered clouds,1767673688,1767721040,1767721780
Eenhana,-17.4667,16.3333,25.8,25.58,25.8,25.8,1009,44,2.68,43,scattered clouds,1767673586,1767720839,1767721783
Helao Nafidi,-17.4247,15.8925,27.6,27.27,27.6,27.6,1008,39,2.2,68,broken clouds,1767673696,1767720940,1767721785
Tsandi,-17.7463,14.8866,27.8,27.37,27.8,27.8,1009,38,5.56,61,broken clouds,1767673902,1767721218,1767721788
Okahao,-17.885,15.0667,28.5,27.9,28.5,28.5,1008,37,3.4,63,broken clouds,1767673843,1767721190,1767721791
Tsumeb,-19.2333,17.7167,25.26,24.73,25.26,25.26,1010,34,3.49,0,clear sky,1767673054,1767720707,1767721795
Oniipa,-17.9141,16.0424,28.22,27.72,28.22,28.22,1009,38,2.0,32,scattered clouds,1767673606,1767720959,1767721796
Otjiwarongo,-20.4637,16.6477,25.38,24.42,25.38,25.38,1010,17,4.02,0,clear sky,1767673169,1767721105,1767721798
Grootfontein,-19.5667,18.1167,27.76,26.92,27.76,27.76,1010,30,2.57,0,clear sky,1767672920,1767720649,1767721799
Okakarara,-20.5833,17.4333,27.23,26.16,27.23,27.23,1008,17,4.19,0,clear sky,1767672966,1767720931,1767721801
Opuwo,-18.0607,13.84,25.3,24.9,25.3,25.3,1011,39,6.69,53,broken clouds,1767674118,1767721504,1767721804
Khorixas,-20.3667,14.9667,26.12,26.12,26.12,26.12,1011,29,8.96,1,clear sky,1767673584,1767721498,1767721806
Katima Mulilo,-17.5,24.2667,24.21,24.15,24.21,24.21,1009,56,2.77,64,broken clouds,1767671677,1767718938,1767721807
Kongola,9.0665,-10.1959,28.84,28.81,28.84,28.84,1009,44,1.12,81,broken clouds,1767682672,1767724491,1767721808
Rundu,-17.9333,19.7667,25.45,24.76,25.45,25.45,1008,27,1.73,18,few clouds,1767672709,1767720067,1767721811
Otjiwarongo,-20.4637,16.6477,25.38,24.42,25.38,25.38,1010,17,4.02,0,clear sky,1767673169,1767721105,1767721798
Mariental,-24.6333,17.9667,31.49,29.33,31.49,31.49,1008,12,2.61,65,broken clouds,1767672349,1767721291,1767721814
Rehoboth,-23.3167,17.0833,30.0,28.14,30.0,30.0,1008,15,5.83,76,broken clouds,1767672724,1767721341,1767721816
Gibeon,37.9724,-76.6197,12.03,11.22,11.17,13.75,1010,74,3.89,100,overcast clouds,1767702162,1767736894,1767721817
Keetmanshoop,-26.5833,18.1333,29.51,27.76,29.51,29.51,1009,15,7.54,13,few clouds,1767672061,1767721500,1767721818
LÃ¼deritz,-26.6481,15.1594,20.93,21.06,20.93,20.93,1012,76,9.01,9,clear sky,1767672767,1767722222,1767721819
Oranjemund,-28.55,16.4333,19.96,20.34,19.96,19.96,1014,89,5.56,2,clear sky,1767672209,1767722168,1767722112
Karasburg,-28.0167,18.75,27.99,26.85,27.99,27.99,1010,24,7.29,0,clear sky,1767671724,1767721541,1767721822
Gobabis,-22.45,18.9667,30.32,28.42,30.32,30.32,1007,17,4.94,23,few clouds,1767672377,1767720784,1767721822
Leonardville,39.3644,-96.8589,11.07,9.75,10.34,11.98,1011,58,5.26,37,scattered clouds,1767707252,1767741521,1767721823
Witvlei,-22.4,18.4833,29.43,27.74,29.43,29.43,1008,18,4.42,7,clear sky,1767672499,1767720894,1767721824
